x,y,z,rearMat,Wm2Back
0.5641869,3.454649e-17,0.9328192,sky,61.94426000000001
0.4229632,2.589903e-17,1.074438,sky,61.94426000000001
0.2817394,1.725156e-17,1.216057,sky,61.94426000000001
0.1405157,8.604103e-18,1.357675,sky,61.94426000000001
-0.0007080934,-4.335822e-20,1.499294,sky,61.94426000000001
-0.1419319,-8.690819e-18,1.640913,sky,61.94426000000001
-0.2831556,-1.733828e-17,1.782531,sky,61.94426000000001
-0.4243794,-2.598574e-17,1.92415,sky,61.94426000000001
-0.5656031,-3.46332e-17,2.065769,sky,61.94426000000001
