x,y,z,rearMat,Wm2Back
0.7864217,4.815444e-17,1.353228,sky,2.8014500000000004
0.5897707,3.611304e-17,1.389675,sky,2.8014500000000004
0.3931197,2.407164e-17,1.426123,sky,2.8014500000000004
0.1964687,1.203024e-17,1.46257,sky,2.8014500000000004
-0.0001822355,-1.115871e-20,1.499017,sky,2.8014500000000004
-0.1968332,-1.205256e-17,1.535464,sky,2.8014500000000004
-0.3934842,-2.409396e-17,1.571911,sky,2.8014500000000004
-0.5901352,-3.613536e-17,1.608358,sky,2.8014500000000004
-0.7867862,-4.817676e-17,1.644805,sky,2.8014500000000004
