x,y,z,rearMat,Wm2Back
0.7813036,4.784105e-17,1.328053,sky,13.672310000000001
0.5859243,3.587751e-17,1.370796,sky,13.672310000000001
0.3905449,2.391398e-17,1.413538,sky,13.672310000000001
0.1951656,1.195045e-17,1.456281,sky,13.672310000000001
-0.0002137124,-1.308611e-20,1.499023,sky,13.672310000000001
-0.195593,-1.197662e-17,1.541766,sky,13.672310000000001
-0.3909724,-2.394015e-17,1.584508,sky,13.672310000000001
-0.5863517,-3.590369e-17,1.627251,sky,13.672310000000001
-0.781731,-4.786722e-17,1.669993,sky,13.672310000000001
