x,y,z,rearMat,Wm2Back
0.7995076,4.895572e-17,1.471918,sky,0.6932079999999999
0.5996222,3.671627e-17,1.478689,sky,0.6932079999999999
0.3997369,2.447682e-17,1.485459,sky,0.6932079999999999
0.1998515,1.223738e-17,1.49223,sky,0.6932079999999999
-3.385292e-05,-2.072893e-21,1.499001,sky,0.6932079999999999
-0.1999192,-1.224152e-17,1.505771,sky,0.6932079999999999
-0.3998046,-2.448097e-17,1.512542,sky,0.6932079999999999
-0.5996899,-3.672042e-17,1.519312,sky,0.6932079999999999
-0.7995753,-4.895987e-17,1.526083,sky,0.6932079999999999
