x,y,z,rearZ,mattype,rearMat,Wm2Front,Wm2Back,Back/FrontRatio,rearX,rearY
2.7238,3.638961e-17,0.05,0.9480854,groundplane,sky,638.0972,25.46495,0.03990757222007522,0.5791297,3.546147e-17
2.7238,0.0254,0.05,1.085883,groundplane,sky,638.0963,25.46495,0.03990762850743923,0.434175,2.658555e-17
2.7238,0.0508,0.05,1.22368,groundplane,sky,638.0959,25.46495,0.03990765352409642,0.2892204,1.770964e-17
2.7238,0.0762,0.05,1.361478,groundplane,sky,638.0956,25.46495,0.0399076722866099,0.1442657,8.833726e-18
2.7238,0.1016,0.05,1.499275,groundplane,sky,638.0952,25.46495,0.039907697303321985,-0.0006889873,-4.218831e-20
2.7238,0.127,0.05,1.637073,groundplane,sky,638.0949,25.46495,0.03990771606587662,-0.1456437,-8.918102e-18
2.7238,0.1524,0.05,1.77487,groundplane,sky,638.0945,25.46495,0.03990774108264359,-0.2905983,-1.779402e-17
2.7238,0.1778,0.05,1.912668,groundplane,sky,638.0942,25.46495,0.0399077598452394,-0.435553,-2.666993e-17
2.7238,0.2032,0.05,2.050465,groundplane,sky,638.0938,25.46495,0.03990778486206125,-0.5805077,-3.554584e-17
