x,y,z,rearZ,mattype,rearMat,Wm2Front,Wm2Back,Back/FrontRatio,rearX,rearY
0.3238,4.754225e-17,0.05,1.672448,groundplane,sky,792.541,18.19047,0.02295205806127625,0.7811931,4.783428e-17
0.3238,0.0254,0.05,1.629092,groundplane,sky,792.5432,18.19047,0.02295199434933724,0.585949,3.587903e-17
0.3238,0.0508,0.05,1.585736,groundplane,sky,792.5427,18.19047,0.02295200882929232,0.3907049,2.392378e-17
0.3238,0.0762,0.05,1.54238,groundplane,sky,792.5421,18.19047,0.02295202620526253,0.1954609,1.196853e-17
0.3238,0.1016,0.05,1.499024,groundplane,sky,792.5414999999999,18.19047,0.022952043581259053,0.0002167804,1.327397e-20
0.3238,0.127,0.05,1.455668,groundplane,sky,792.5409,18.19047,0.022952060957281882,-0.1950273,-1.194198e-17
0.3238,0.1524,0.05,1.412312,groundplane,sky,792.5403,18.19047,0.022952078333331023,-0.3902714,-2.389723e-17
0.3238,0.1778,0.05,1.368956,groundplane,sky,792.5396999999999,18.19047,0.022952095709406473,-0.5855155,-3.585248e-17
0.3238,0.2032,0.05,1.325599,groundplane,sky,792.5391,18.19047,0.022952113085508232,-0.7807595,-4.780773e-17
