x,y,z,rearZ,mattype,rearMat,Wm2Front,Wm2Back,Back/FrontRatio,rearX,rearY
3.9238,4.720993e-17,0.05,1.264479,groundplane,sky,788.1803,16.73586,0.021233515689854605,0.7645462,4.681495e-17
3.9238,0.0254,0.05,1.32312,groundplane,sky,788.1807,16.73586,0.021233504913905004,0.5733363,3.510673e-17
3.9238,0.0508,0.05,1.381762,groundplane,sky,788.1802000000001,16.73586,0.02123351838384371,0.3821265,2.33985e-17
3.9238,0.0762,0.05,1.440403,groundplane,sky,788.1797,16.73586,0.021233531853799514,0.1909166,1.169027e-17
3.9238,0.1016,0.05,1.499044,groundplane,sky,788.1791,16.73586,0.021233548017769034,-0.0002932061,-1.79537e-20
3.9238,0.127,0.05,1.557685,groundplane,sky,788.1785999999998,16.73586,0.021233561487762436,-0.1915031,-1.172618e-17
3.9238,0.1524,0.05,1.616326,groundplane,sky,788.1782,16.73586,0.021233572263769457,-0.3827129,-2.343441e-17
3.9238,0.1778,0.05,1.674968,groundplane,sky,788.1776999999998,16.73586,0.021233585733793622,-0.5739228,-3.514263e-17
3.9238,0.2032,0.05,1.733609,groundplane,sky,788.1772,16.73586,0.021233599203834868,-0.7651326,-4.685086e-17
