x,y,z,rearZ,mattype,rearMat,Wm2Front,Wm2Back,Back/FrontRatio,rearX,rearY
3.9238,3.862189e-17,0.05,0.9904734,groundplane,sky,672.4378,22.68597,0.033736854565798405,0.6167525,3.77652e-17
3.9238,0.0254,0.05,1.117662,groundplane,sky,672.4374,22.68597,0.03373687463416723,0.4624054,2.831417e-17
3.9238,0.0508,0.05,1.244851,groundplane,sky,672.437,22.68597,0.033736894702559944,0.3080583,1.886313e-17
3.9238,0.0762,0.05,1.37204,groundplane,sky,672.4366,22.68597,0.03373691477097652,0.1537112,9.412095e-18
3.9238,0.1016,0.05,1.499228,groundplane,sky,672.4362,22.68597,0.03373693483941698,-0.0006359435,-3.894031e-20
3.9238,0.127,0.05,1.626417,groundplane,sky,672.4359,22.68597,0.03373694989076299,-0.1549831,-9.489975e-18
3.9238,0.1524,0.05,1.753606,groundplane,sky,672.4354,22.68597,0.033736974976369516,-0.3093302,-1.894101e-17
3.9238,0.1778,0.05,1.880794,groundplane,sky,672.4351,22.68597,0.03373699002775134,-0.4636773,-2.839205e-17
3.9238,0.2032,0.05,2.007983,groundplane,sky,672.4347,22.68597,0.03373701009628133,-0.6180244,-3.784308e-17
