x,y,z,rearZ,mattype,rearMat,Wm2Front,Wm2Back,Back/FrontRatio,rearX,rearY
0.3238,3.247255e-17,0.05,0.8865217,groundplane,sky,518.8945,32.5931,0.06281245453082557,0.513464,3.14406e-17
0.3238,0.0254,0.05,1.039731,groundplane,sky,518.893,32.5931,0.06281263610679638,0.3849065,2.356873e-17
0.3238,0.0508,0.05,1.192939,groundplane,sky,518.8928,32.5931,0.06281266031700514,0.256349,1.569685e-17
0.3238,0.0762,0.05,1.346148,groundplane,sky,518.8925,32.5931,0.06281269663235327,0.1277915,7.824971e-18
0.3238,0.1016,0.05,1.499357,groundplane,sky,518.8923,32.5931,0.0628127208426087,-0.0007660444,-4.690669e-20
0.3238,0.127,0.05,1.652566,groundplane,sky,518.892,32.5931,0.0628127571580268,-0.1293236,-7.918785e-18
0.3238,0.1524,0.05,1.805775,groundplane,sky,518.8918,32.5931,0.06281278136832888,-0.2578811,-1.579066e-17
0.3238,0.1778,0.05,1.958984,groundplane,sky,518.8915,32.5931,0.06281281768381698,-0.3864386,-2.366254e-17
0.3238,0.2032,0.05,2.112193,groundplane,sky,518.8913,32.5931,0.06281284189416571,-0.5149961,-3.153442e-17
