x,y,z,rearZ,mattype,rearMat,Wm2Front,Wm2Back,Back/FrontRatio,rearX,rearY
2.7238,3.050247e-17,0.05,2.112193,groundplane,sky,555.4847,35.81717,0.06447901359116895,0.5149961,3.153442e-17
2.7238,0.0254,0.05,1.958984,groundplane,sky,555.4875,35.81717,0.06447868857771133,0.3864386,2.366254e-17
2.7238,0.0508,0.05,1.805775,groundplane,sky,555.4872,35.81717,0.06447872340042506,0.2578811,1.579066e-17
2.7238,0.0762,0.05,1.652566,groundplane,sky,555.4869,35.81717,0.06447875822317642,0.1293236,7.918785e-18
2.7238,0.1016,0.05,1.499357,groundplane,sky,555.4866,35.81717,0.06447879304596539,0.0007660444,4.690669e-20
2.7238,0.127,0.05,1.346148,groundplane,sky,555.4862,35.81717,0.06447883947640917,-0.1277915,-7.824971e-18
2.7238,0.1524,0.05,1.192939,groundplane,sky,555.4859,35.81717,0.06447887429928591,-0.256349,-1.569685e-17
2.7238,0.1778,0.05,1.039731,groundplane,sky,555.4856,35.81717,0.06447890912220025,-0.3849065,-2.356873e-17
2.7238,0.2032,0.05,0.8865217,groundplane,sky,555.4852,35.81717,0.06447895555281122,-0.513464,-3.14406e-17
