x,y,z,rearZ,mattype,rearMat,Wm2Front,Wm2Back,Back/FrontRatio,rearX,rearY
5.1238,4.62591e-17,0.05,1.743072,groundplane,sky,103.52659999999999,8.367453,0.0808234036141087,0.7621791,4.667001e-17
5.1238,0.0254,0.05,1.682066,groundplane,sky,103.5279,8.367453,0.08082238872430789,0.5717106,3.500718e-17
5.1238,0.0508,0.05,1.62106,groundplane,sky,103.5278,8.367453,0.08082246679184922,0.3812421,2.334434e-17
5.1238,0.0762,0.05,1.560054,groundplane,sky,103.5278,8.367453,0.08082246679184922,0.1907735,1.168151e-17
5.1238,0.1016,0.05,1.499048,groundplane,sky,103.5278,8.367453,0.08082246679184922,0.0003050305,1.867773e-20
5.1238,0.127,0.05,1.438042,groundplane,sky,103.5277,8.367453,0.08082254485954135,-0.1901635,-1.164416e-17
5.1238,0.1524,0.05,1.377035,groundplane,sky,103.5277,8.367453,0.08082254485954135,-0.380632,-2.330699e-17
5.1238,0.1778,0.05,1.316029,groundplane,sky,103.5276,8.367453,0.0808226229273843,-0.5711005,-3.496982e-17
5.1238,0.2032,0.05,1.255023,groundplane,sky,103.5276,8.367453,0.0808226229273843,-0.761569,-4.663265e-17
