x,y,z,rearZ,mattype,rearMat,Wm2Front,Wm2Back,Back/FrontRatio,rearX,rearY
3.9238,3.247255e-17,0.05,0.8865217,groundplane,sky,374.5301,37.57394,0.10032261673329665,0.513464,3.14406e-17
3.9238,0.0254,0.05,1.039731,groundplane,sky,374.5284,37.57394,0.10032307210061481,0.3849065,2.356873e-17
3.9238,0.0508,0.05,1.192939,groundplane,sky,374.5282,37.57394,0.10032312567351225,0.256349,1.569685e-17
3.9238,0.0762,0.05,1.346148,groundplane,sky,374.528,37.57394,0.1003231792464669,0.1277915,7.824971e-18
3.9238,0.1016,0.05,1.499357,groundplane,sky,374.5279,37.57394,0.10032320603296568,-0.0007660444,-4.690669e-20
3.9238,0.127,0.05,1.652566,groundplane,sky,374.5276999999999,37.57394,0.10032325960600619,-0.1293236,-7.918785e-18
3.9238,0.1524,0.05,1.805775,groundplane,sky,374.52760000000006,37.57394,0.10032328639254785,-0.2578811,-1.579066e-17
3.9238,0.1778,0.05,1.958984,groundplane,sky,374.5274,37.57394,0.10032333996567418,-0.3864386,-2.366254e-17
3.9238,0.2032,0.05,2.112193,groundplane,sky,374.5272,37.57394,0.10032339353885769,-0.5149961,-3.153442e-17
