x,y,z,rearZ,mattype,rearMat,Wm2Front,Wm2Back,Back/FrontRatio,rearX,rearY
1.5238,4.142183e-17,0.05,1.054133,groundplane,sky,219.717,13.474560000000002,0.061326609563167336,0.6642313,4.067244e-17
1.5238,0.0254,0.05,1.165392,groundplane,sky,219.7156,13.474560000000002,0.061327000326784606,0.4980344,3.049581e-17
1.5238,0.0508,0.05,1.276651,groundplane,sky,219.7156,13.474560000000002,0.061327000326784606,0.3318375,2.031919e-17
1.5238,0.0762,0.05,1.38791,groundplane,sky,219.7155,13.474560000000002,0.0613270282386621,0.1656406,1.014256e-17
1.5238,0.1016,0.05,1.499169,groundplane,sky,219.71539999999996,13.474560000000002,0.061327056150565024,-0.0005562956,-3.406328e-20
1.5238,0.127,0.05,1.610428,groundplane,sky,219.71529999999998,13.474560000000002,0.06132708406249333,-0.1667532,-1.021069e-17
1.5238,0.1524,0.05,1.721687,groundplane,sky,219.71529999999998,13.474560000000002,0.06132708406249333,-0.3329501,-2.038731e-17
1.5238,0.1778,0.05,1.832946,groundplane,sky,219.7152,13.474560000000002,0.06132711197444704,-0.499147,-3.056394e-17
1.5238,0.2032,0.05,1.944206,groundplane,sky,219.7151,13.474560000000002,0.06132713988642617,-0.6653439,-4.074056e-17
