x,y,z,rearZ,mattype,rearMat,Wm2Front,Wm2Back,Back/FrontRatio,rearX,rearY
2.7238,4.268501e-17,0.05,1.08807,groundplane,sky,729.8382,19.11997,0.026197510355705746,0.6857946,4.199281e-17
2.7238,0.0254,0.05,1.190838,groundplane,sky,729.8379,19.11997,0.026197521124182336,0.5142175,3.148674e-17
2.7238,0.0508,0.05,1.293606,groundplane,sky,729.8375,19.11997,0.02619753548216489,0.3426404,2.098067e-17
2.7238,0.0762,0.05,1.396374,groundplane,sky,729.837,19.11997,0.02619755342966521,0.1710633,1.04746e-17
2.7238,0.1016,0.05,1.499142,groundplane,sky,729.8366,19.11997,0.026197567787683177,-0.0005138407,-3.146367e-20
2.7238,0.127,0.05,1.60191,groundplane,sky,729.8362000000001,19.11997,0.026197582145716877,-0.172091,-1.053753e-17
2.7238,0.1524,0.05,1.704678,groundplane,sky,729.8358,19.11997,0.026197596503766324,-0.3436681,-2.10436e-17
2.7238,0.1778,0.05,1.807447,groundplane,sky,729.8353000000001,19.11997,0.02619761445135025,-0.5152452,-3.154967e-17
2.7238,0.2032,0.05,1.910215,groundplane,sky,729.8349,19.11997,0.026197628809435106,-0.6868223,-4.205574e-17
