Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Dew Point Units,DHI Units,DNI Units,GHI Units,Temperature Units,Pressure Units,Wind Direction Units,Wind Speed Units,Surface Albedo Units,Version
NSRDB,511013,-,-,-,38.89,-103.94,-7,1737,-7,c,w/m2,w/m2,w/m2,c,mbar,Degrees,m/s,,3.2.0
Year,Month,Day,Hour,Minute,Dew Point,DHI,DNI,GHI,Surface Albedo,Pressure,Temperature,Wind Direction,Wind Speed,,,,,,
2017,1,1,0,30,-7,0,0,0,0.2,810,-1,177,0.2,,,,,,
2017,1,1,1,30,-7,0,0,0,0.2,810,-2,62,0.2,,,,,,
2017,1,1,2,30,-7,0,0,0,0.2,810,-2,20,0.4,,,,,,
2017,1,1,3,30,-7,0,0,0,0.2,810,-2,355,0.5,,,,,,
2017,1,1,4,30,-8,0,0,0,0.2,810,-2,344,0.7000000000000001,,,,,,
2017,1,1,5,30,-8,0,0,0,0.2,810,-2,332,0.9,,,,,,
2017,1,1,6,30,-9,0,0,0,0.2,810,-3,323,1.2000000000000002,,,,,,
2017,1,1,7,30,-9,22,0,22,0.2,810,-1,316,1.6,,,,,,
2017,1,1,8,30,-9,40,722,179,0.2,810,1,308,2.5,,,,,,
2017,1,1,9,30,-9,52,876,337,0.2,810,3,298,3.4000000000000004,,,,,,
2017,1,1,10,30,-9,57,948,454,0.2,810,6,292,4,,,,,,
2017,1,1,11,30,-10,59,980,516,0.2,810,7,293,4.3,,,,,,
2017,1,1,12,30,-11,58,984,516,0.2,810,8,296,4.2,,,,,,
2017,1,1,13,30,-11,54,959,454,0.2,810,8,301,3.3000000000000003,,,,,,
2017,1,1,14,30,-9,47,896,337,0.2,810,6,322,1.8,,,,,,
2017,1,1,15,30,-7,36,746,179,0.2,810,3,6,1.3,,,,,,
2017,1,1,16,30,-9,21,0,21,0.2,810,1,50,1.5,,,,,,
2017,1,1,17,30,-9,0,0,0,0.2,810,0,71,1.6,,,,,,
2017,1,1,18,30,-9,0,0,0,0.2,810,0,80,1.6,,,,,,
2017,1,1,19,30,-9,0,0,0,0.2,810,-1,86,1.5,,,,,,
2017,1,1,20,30,-9,0,0,0,0.2,810,-1,95,1.4000000000000001,,,,,,
2017,1,1,21,30,-8,0,0,0,0.2,810,-1,108,1.2000000000000002,,,,,,
2017,1,1,22,30,-8,0,0,0,0.2,810,-1,122,1.1,,,,,,
2017,1,1,23,30,-8,0,0,0,0.2,810,-1,135,0.8,,,,,,
2017,1,2,0,30,-8,0,0,0,0.2,810,-1,155,0.7000000000000001,,,,,,
2017,1,2,1,30,-7,0,0,0,0.2,810,-1,222,0.9,,,,,,
2017,1,2,2,30,-7,0,0,0,0.2,810,-1,254,1.5,,,,,,
2017,1,2,3,30,-7,0,0,0,0.2,810,-1,268,2,,,,,,
2017,1,2,4,30,-7,0,0,0,0.2,810,-2,272,2.3000000000000003,,,,,,
2017,1,2,5,30,-7,0,0,0,0.2,810,-2,272,2.4000000000000004,,,,,,
2017,1,2,6,30,-8,0,0,0,0.2,810,-2,273,2.3000000000000003,,,,,,
2017,1,2,7,30,-8,19,0,19,0.2,810,-1,271,2.5,,,,,,
2017,1,2,8,30,-8,46,534,149,0.2,810,1,268,3.2,,,,,,
2017,1,2,9,30,-7,92,560,274,0.2,810,4,258,3.8000000000000003,,,,,,
2017,1,2,10,30,-7,190,193,271,0.2,810,7,254,4.5,,,,,,
2017,1,2,11,30,-8,212,80,249,0.2,810,8,266,4.9,,,,,,
2017,1,2,12,30,-10,217,212,317,0.2,810,8,272,4.1000000000000005,,,,,,
2017,1,2,13,30,-10,94,706,390,0.2,810,7,274,2.5,,,,,,
2017,1,2,14,30,-7,61,735,300,0.2,810,5,274,1.2000000000000002,,,,,,
2017,1,2,15,30,-7,45,597,160,0.2,810,3,281,0.9,,,,,,
2017,1,2,16,30,-9,20,0,20,0.2,810,1,312,0.8,,,,,,
2017,1,2,17,30,-9,0,0,0,0.2,820,0,1,1.2000000000000002,,,,,,
2017,1,2,18,30,-9,0,0,0,0.2,820,-1,27,2.6,,,,,,
2017,1,2,19,30,-8,0,0,0,0.2,820,-3,40,4.1000000000000005,,,,,,
2017,1,2,20,30,-8,0,0,0,0.2,820,-4,39,4.4,,,,,,
2017,1,2,21,30,-8,0,0,0,0.2,820,-5,36,4,,,,,,
2017,1,2,22,30,-8,0,0,0,0.2,820,-5,35,3.5,,,,,,
2017,1,2,23,30,-9,0,0,0,0.2,820,-6,39,2.9000000000000004,,,,,,
2017,1,3,0,30,-9,0,0,0,0.2,820,-6,48,2.4000000000000004,,,,,,
2017,1,3,1,30,-9,0,0,0,0.2,820,-6,62,2,,,,,,
2017,1,3,2,30,-10,0,0,0,0.2,820,-7,75,1.4000000000000001,,,,,,
2017,1,3,3,30,-10,0,0,0,0.2,820,-7,93,1,,,,,,
2017,1,3,4,30,-10,0,0,0,0.2,820,-7,127,0.9,,,,,,
2017,1,3,5,30,-10,0,0,0,0.2,820,-8,148,0.9,,,,,,
2017,1,3,6,30,-10,0,0,0,0.2,820,-8,160,1.2000000000000002,,,,,,
2017,1,3,7,30,-10,15,202,21,0.2,820,-7,172,1.7000000000000002,,,,,,
2017,1,3,8,30,-10,48,658,175,0.2,820,-6,194,2,,,,,,
2017,1,3,9,30,-10,62,825,331,0.2,820,-4,216,1.8,,,,,,
2017,1,3,10,30,-10,165,390,329,0.2,820,-2,230,1.3,,,,,,
2017,1,3,11,30,-10,71,933,508,0.2,820,0,231,0.8,,,,,,
2017,1,3,12,30,-10,71,928,507,0.2,820,0,182,0.9,,,,,,
2017,1,3,13,30,-10,92,715,394,0.2,820,0,133,1.9000000000000001,,,,,,
