Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Dew Point Units,DHI Units,DNI Units,GHI Units,Temperature Units,Pressure Units,Wind Direction Units,Wind Speed Units,Surface Albedo Units,Version
NSRDB,117888,-,-,-,37.33,-108.34,-7,2044,-7,c,w/m2,w/m2,w/m2,c,mbar,Degrees,m/s,,3.2.0
Year,Month,Day,Hour,Minute,Dew Point,DHI,DNI,GHI,Surface Albedo,Pressure,Temperature,Wind Direction,Wind Speed,,,,,,
2001,1,1,0,30,-12,0,0,0,0.15,790,-3,354,1,,,,,,
2001,1,1,1,30,-12,0,0,0,0.15,790,-3,357,1,,,,,,
2001,1,1,2,30,-12,0,0,0,0.15,790,-3,355,1,,,,,,
2001,1,1,3,30,-11,0,0,0,0.15,790,-3,349,1,,,,,,
2001,1,1,4,30,-11,0,0,0,0.15,790,-4,347,1,,,,,,
2001,1,1,5,30,-11,0,0,0,0.15,790,-4,350,1,,,,,,
2001,1,1,6,30,-11,0,0,0,0.15,790,-4,352,1,,,,,,
2001,1,1,7,30,-11,0,0,0,0.15,790,-3,350,1.1,,,,,,
2001,1,1,8,30,-10,37,679,149,0.15,790,-1,347,1.6,,,,,,
2001,1,1,9,30,-8,51,862,318,0.15,790,1,341,2.5,,,,,,
2001,1,1,10,30,-8,58,944,452,0.15,790,4,334,2.8000000000000003,,,,,,
2001,1,1,11,30,-8,60,983,533,0.15,790,5,327,3,,,,,,
2001,1,1,12,30,-8,60,994,552,0.15,790,6,320,3.2,,,,,,
2001,1,1,13,30,-8,57,982,508,0.15,790,6,319,3.4000000000000004,,,,,,
2001,1,1,14,30,-8,52,941,406,0.15,790,5,323,3.2,,,,,,
2001,1,1,15,30,-7,42,843,255,0.15,790,2,328,2.4000000000000004,,,,,,
2001,1,1,16,30,-7,25,577,79,0.15,790,-1,333,1.6,,,,,,
2001,1,1,17,30,-8,0,0,0,0.15,790,-2,342,1.5,,,,,,
2001,1,1,18,30,-8,0,0,0,0.15,790,-3,353,1.5,,,,,,
2001,1,1,19,30,-8,0,0,0,0.15,790,-3,360,1.4000000000000001,,,,,,
2001,1,1,20,30,-9,0,0,0,0.15,790,-3,5,1.4000000000000001,,,,,,
2001,1,1,21,30,-9,0,0,0,0.15,790,-4,10,1.4000000000000001,,,,,,
2001,1,1,22,30,-9,0,0,0,0.15,790,-4,15,1.4000000000000001,,,,,,
2001,1,1,23,30,-9,0,0,0,0.15,790,-4,19,1.4000000000000001,,,,,,
2001,1,2,0,30,-9,0,0,0,0.15,790,-4,20,1.4000000000000001,,,,,,
2001,1,2,1,30,-9,0,0,0,0.15,790,-4,19,1.5,,,,,,
2001,1,2,2,30,-9,0,0,0,0.15,790,-4,21,1.5,,,,,,
2001,1,2,3,30,-10,0,0,0,0.15,790,-4,23,1.5,,,,,,
2001,1,2,4,30,-10,0,0,0,0.15,790,-5,32,1.5,,,,,,
2001,1,2,5,30,-10,0,0,0,0.15,800,-5,42,1.5,,,,,,
2001,1,2,6,30,-11,0,0,0,0.15,800,-6,48,1.6,,,,,,
2001,1,2,7,30,-11,0,0,0,0.15,800,-4,53,1.7000000000000002,,,,,,
2001,1,2,8,30,-11,37,702,152,0.15,800,-1,56,2.2,,,,,,
2001,1,2,9,30,-10,50,882,324,0.15,800,1,60,2.7,,,,,,
