Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Dew Point Units,DHI Units,DNI Units,GHI Units,Temperature Units,Pressure Units,Wind Direction Units,Wind Speed Units,Surface Albedo Units,Version
NSRDB,130081,-,-,-,38.41,-109.02,-7,2239,-7,c,w/m2,w/m2,w/m2,c,mbar,Degrees,m/s,,3.2.0
Year,Month,Day,Hour,Minute,Dew Point,DHI,DNI,GHI,Surface Albedo,Pressure,Temperature,Wind Direction,Wind Speed,,,,,,
2001,1,1,0,30,-9,0,0,0,0.11,780,-4,190,1,,,,,,
2001,1,1,1,30,-10,0,0,0,0.11,780,-4,197,1.1,,,,,,
2001,1,1,2,30,-10,0,0,0,0.11,780,-4,208,1.1,,,,,,
2001,1,1,3,30,-10,0,0,0,0.11,780,-5,223,1.1,,,,,,
2001,1,1,4,30,-10,0,0,0,0.11,780,-5,233,1,,,,,,
2001,1,1,5,30,-10,0,0,0,0.11,780,-5,241,0.9,,,,,,
2001,1,1,6,30,-10,0,0,0,0.11,780,-5,242,0.7000000000000001,,,,,,
2001,1,1,7,30,-10,0,0,0,0.11,780,-4,240,0.6000000000000001,,,,,,
2001,1,1,8,30,-9,33,656,129,0.11,780,-3,233,0.8,,,,,,
2001,1,1,9,30,-8,47,862,297,0.11,780,-1,226,1.1,,,,,,
2001,1,1,10,30,-8,53,952,432,0.11,780,1,256,1.6,,,,,,
2001,1,1,11,30,-8,55,994,515,0.11,780,2,277,2.3000000000000003,,,,,,
2001,1,1,12,30,-7,55,1004,536,0.11,780,3,292,2.9000000000000004,,,,,,
2001,1,1,13,30,-7,54,985,494,0.11,770,3,302,3.2,,,,,,
2001,1,1,14,30,-7,51,931,392,0.11,780,2,308,2.8000000000000003,,,,,,
2001,1,1,15,30,-6,44,810,243,0.11,780,0,315,1.7000000000000002,,,,,,
2001,1,1,16,30,-6,26,506,72,0.11,780,-2,321,0.8,,,,,,
2001,1,1,17,30,-7,0,0,0,0.11,780,-3,332,0.7000000000000001,,,,,,
2001,1,1,18,30,-7,0,0,0,0.11,780,-3,343,0.7000000000000001,,,,,,
2001,1,1,19,30,-7,0,0,0,0.11,780,-3,349,0.7000000000000001,,,,,,
2001,1,1,20,30,-7,0,0,0,0.11,780,-3,349,0.8,,,,,,
2001,1,1,21,30,-7,0,0,0,0.11,780,-4,348,0.9,,,,,,
2001,1,1,22,30,-7,0,0,0,0.11,780,-5,350,0.9,,,,,,
2001,1,1,23,30,-7,0,0,0,0.11,780,-5,352,1,,,,,,
2001,1,2,0,30,-7,0,0,0,0.11,780,-6,354,1,,,,,,
2001,1,2,1,30,-8,0,0,0,0.11,780,-6,0,1,,,,,,
2001,1,2,2,30,-8,0,0,0,0.11,780,-7,6,1,,,,,,
2001,1,2,3,30,-8,0,0,0,0.11,780,-7,18,1,,,,,,
2001,1,2,4,30,-9,0,0,0,0.11,780,-8,30,1,,,,,,
2001,1,2,5,30,-9,0,0,0,0.11,780,-9,34,1,,,,,,
2001,1,2,6,30,-9,0,0,0,0.11,780,-9,35,1,,,,,,
2001,1,2,7,30,-9,0,0,0,0.11,780,-8,38,1.2000000000000002,,,,,,
2001,1,2,8,30,-9,32,697,133,0.11,780,-5,38,1.9000000000000001,,,,,,
2001,1,2,9,30,-9,44,892,303,0.11,780,-1,37,2.6,,,,,,
2001,1,2,10,30,-9,49,977,439,0.11,780,1,36,3.3000000000000003,,,,,,
2001,1,2,11,30,-10,56,1003,521,0.11,780,2,34,3.7,,,,,,
2001,1,2,12,30,-11,56,1011,542,0.11,780,3,27,3.5,,,,,,
2001,1,2,13,30,-11,54,996,501,0.11,780,3,27,3,,,,,,
2001,1,2,14,30,-11,50,951,400,0.11,780,2,34,2.2,,,,,,
2001,1,2,15,30,-9,41,846,251,0.11,780,0,34,1.3,,,,,,
2001,1,2,16,30,-8,25,576,79,0.11,780,-2,7,1,,,,,,
2001,1,2,17,30,-9,0,0,0,0.11,780,-3,356,1.1,,,,,,
2001,1,2,18,30,-9,0,0,0,0.11,780,-3,357,1.1,,,,,,
2001,1,2,19,30,-10,0,0,0,0.11,780,-4,6,1,,,,,,
2001,1,2,20,30,-10,0,0,0,0.11,790,-4,22,1,,,,,,
2001,1,2,21,30,-11,0,0,0,0.11,790,-4,44,1,,,,,,
2001,1,2,22,30,-11,0,0,0,0.11,780,-4,74,1,,,,,,
2001,1,2,23,30,-11,0,0,0,0.11,780,-4,100,0.9,,,,,,
2001,1,3,0,30,-12,0,0,0,0.11,780,-4,119,0.8,,,,,,
2001,1,3,1,30,-12,0,0,0,0.11,780,-4,131,0.7000000000000001,,,,,,
2001,1,3,2,30,-12,0,0,0,0.11,780,-4,135,0.6000000000000001,,,,,,
2001,1,3,3,30,-13,0,0,0,0.11,780,-4,135,0.4,,,,,,
2001,1,3,4,30,-13,0,0,0,0.11,780,-4,106,0.4,,,,,,
2001,1,3,5,30,-14,0,0,0,0.11,780,-5,84,0.6000000000000001,,,,,,
2001,1,3,6,30,-14,0,0,0,0.11,780,-5,84,0.8,,,,,,
2001,1,3,7,30,-14,0,0,0,0.11,790,-4,87,0.9,,,,,,
2001,1,3,8,30,-13,29,696,131,0.11,790,-2,86,0.8,,,,,,
2001,1,3,9,30,-11,41,878,296,0.11,790,0,79,0.9,,,,,,
2001,1,3,10,30,-13,47,953,428,0.11,790,2,43,1.4000000000000001,,,,,,
2001,1,3,11,30,-14,52,982,508,0.11,790,4,21,2,,,,,,
2001,1,3,12,30,-14,53,988,529,0.11,780,5,14,2.3000000000000003,,,,,,
2001,1,3,13,30,-12,52,970,489,0.11,780,5,11,2.2,,,,,,
2001,1,3,14,30,-11,49,924,391,0.11,780,4,9,1.7000000000000002,,,,,,
2001,1,3,15,30,-7,41,821,246,0.11,780,2,5,1.1,,,,,,
2001,1,3,16,30,-8,25,556,78,0.11,780,0,359,1,,,,,,
2001,1,3,17,30,-10,0,0,0,0.11,780,-1,6,1.1,,,,,,
2001,1,3,18,30,-10,0,0,0,0.11,780,-1,19,1,,,,,,
2001,1,3,19,30,-10,0,0,0,0.11,780,-1,34,0.9,,,,,,
2001,1,3,20,30,-10,0,0,0,0.11,780,-1,54,0.9,,,,,,
2001,1,3,21,30,-10,0,0,0,0.11,780,-1,77,0.9,,,,,,
2001,1,3,22,30,-10,0,0,0,0.11,780,-1,95,0.9,,,,,,
2001,1,3,23,30,-11,0,0,0,0.11,780,-1,106,0.9,,,,,,
2001,1,4,0,30,-11,0,0,0,0.11,780,-1,116,0.8,,,,,,
2001,1,4,1,30,-11,0,0,0,0.11,780,-1,129,0.7000000000000001,,,,,,
2001,1,4,2,30,-11,0,0,0,0.11,780,-1,148,0.6000000000000001,,,,,,
2001,1,4,3,30,-11,0,0,0,0.11,780,-2,176,0.5,,,,,,
2001,1,4,4,30,-11,0,0,0,0.11,780,-2,185,0.7000000000000001,,,,,,
2001,1,4,5,30,-11,0,0,0,0.11,780,-3,176,0.8,,,,,,
2001,1,4,6,30,-11,0,0,0,0.11,780,-4,165,0.9,,,,,,
2001,1,4,7,30,-11,0,0,0,0.11,780,-3,157,0.9,,,,,,
2001,1,4,8,30,-9,30,679,129,0.11,780,-1,153,1,,,,,,
2001,1,4,9,30,-8,42,869,295,0.11,780,1,150,0.9,,,,,,
2001,1,4,10,30,-9,48,951,429,0.11,780,3,165,0.7000000000000001,,,,,,
2001,1,4,11,30,-9,51,990,512,0.11,780,5,287,1,,,,,,
2001,1,4,12,30,-8,52,1002,536,0.11,780,6,314,1.4000000000000001,,,,,,
2001,1,4,13,30,-8,50,990,498,0.11,780,6,330,1.4000000000000001,,,,,,
2001,1,4,14,30,-8,46,949,400,0.11,780,5,339,1,,,,,,
2001,1,4,15,30,-4,39,854,255,0.11,780,2,332,0.9,,,,,,
2001,1,4,16,30,-7,24,604,83,0.11,780,0,326,1.1,,,,,,
2001,1,4,17,30,-9,0,0,0,0.11,780,-1,334,1.1,,,,,,
2001,1,4,18,30,-9,0,0,0,0.11,780,-1,356,1,,,,,,
2001,1,4,19,30,-9,0,0,0,0.11,780,-2,27,1,,,,,,
2001,1,4,20,30,-9,0,0,0,0.11,780,-2,54,1.1,,,,,,
2001,1,4,21,30,-9,0,0,0,0.11,780,-2,68,1.2000000000000002,,,,,,
2001,1,4,22,30,-9,0,0,0,0.11,780,-2,78,1.2000000000000002,,,,,,
2001,1,4,23,30,-9,0,0,0,0.11,780,-2,89,1.1,,,,,,
2001,1,5,0,30,-9,0,0,0,0.11,780,-1,99,1.1,,,,,,
2001,1,5,1,30,-9,0,0,0,0.11,780,-1,109,1.1,,,,,,
2001,1,5,2,30,-9,0,0,0,0.11,780,-1,117,1,,,,,,
2001,1,5,3,30,-10,0,0,0,0.11,780,-1,123,0.9,,,,,,
2001,1,5,4,30,-10,0,0,0,0.11,780,-1,124,0.8,,,,,,
2001,1,5,5,30,-11,0,0,0,0.11,780,-1,125,0.8,,,,,,
2001,1,5,6,30,-11,0,0,0,0.11,780,-2,136,0.9,,,,,,
2001,1,5,7,30,-12,0,0,0,0.11,780,-1,156,1,,,,,,
2001,1,5,8,30,-10,29,722,134,0.11,780,0,176,1.1,,,,,,
2001,1,5,9,30,-8,40,903,304,0.11,780,2,184,1.3,,,,,,
2001,1,5,10,30,-10,46,977,438,0.11,780,4,203,1.5,,,,,,
2001,1,5,11,30,-10,50,1006,520,0.11,780,6,229,1.7000000000000002,,,,,,
2001,1,5,12,30,-10,51,1012,542,0.11,780,7,247,1.8,,,,,,
2001,1,5,13,30,-10,50,996,502,0.11,780,7,258,1.7000000000000002,,,,,,
2001,1,5,14,30,-9,46,951,403,0.11,780,6,266,1.2000000000000002,,,,,,
2001,1,5,15,30,-4,39,853,257,0.11,780,3,279,0.9,,,,,,
2001,1,5,16,30,-8,24,605,85,0.11,780,1,293,1,,,,,,
2001,1,5,17,30,-10,0,0,0,0.11,780,1,303,0.8,,,,,,
2001,1,5,18,30,-10,0,0,0,0.11,780,1,322,0.4,,,,,,
2001,1,5,19,30,-10,0,0,0,0.11,780,0,28,0.30000000000000004,,,,,,
2001,1,5,20,30,-10,0,0,0,0.11,780,0,106,0.5,,,,,,
2001,1,5,21,30,-10,0,0,0,0.11,780,0,148,0.6000000000000001,,,,,,
2001,1,5,22,30,-10,0,0,0,0.11,770,0,171,0.7000000000000001,,,,,,
2001,1,5,23,30,-10,0,0,0,0.11,770,0,187,0.9,,,,,,
2001,1,6,0,30,-10,0,0,0,0.11,770,0,204,1,,,,,,
2001,1,6,1,30,-10,0,0,0,0.11,770,0,216,1.1,,,,,,
2001,1,6,2,30,-10,0,0,0,0.11,770,0,223,1,,,,,,
2001,1,6,3,30,-10,0,0,0,0.11,770,0,226,0.9,,,,,,
2001,1,6,4,30,-10,0,0,0,0.11,770,0,226,0.9,,,,,,
2001,1,6,5,30,-11,0,0,0,0.11,770,0,221,0.8,,,,,,
2001,1,6,6,30,-11,0,0,0,0.11,770,-1,211,0.7000000000000001,,,,,,
2001,1,6,7,30,-11,0,0,0,0.11,770,0,205,0.6000000000000001,,,,,,
2001,1,6,8,30,-10,31,683,131,0.11,770,0,213,0.5,,,,,,
2001,1,6,9,30,-9,44,875,300,0.11,770,2,236,0.6000000000000001,,,,,,
2001,1,6,10,30,-10,50,956,435,0.11,770,4,280,1.1,,,,,,
2001,1,6,11,30,-10,54,989,518,0.11,770,6,300,1.6,,,,,,
2001,1,6,12,30,-10,55,999,542,0.11,770,7,300,2,,,,,,
2001,1,6,13,30,-10,54,984,502,0.11,770,6,303,2.2,,,,,,
2001,1,6,14,30,-9,50,935,404,0.11,770,5,307,1.8,,,,,,
2001,1,6,15,30,-7,92,357,184,0.11,770,2,313,1.1,,,,,,
2001,1,6,16,30,-7,27,568,86,0.11,770,0,321,0.8,,,,,,
2001,1,6,17,30,-9,0,0,0,0.11,770,-1,334,0.6000000000000001,,,,,,
2001,1,6,18,30,-10,0,0,0,0.11,770,-1,357,0.4,,,,,,
2001,1,6,19,30,-10,0,0,0,0.11,770,-1,33,0.30000000000000004,,,,,,
2001,1,6,20,30,-10,0,0,0,0.11,770,-1,49,0.4,,,,,,
2001,1,6,21,30,-10,0,0,0,0.11,770,-1,34,0.4,,,,,,
2001,1,6,22,30,-10,0,0,0,0.11,770,-1,6,0.6000000000000001,,,,,,
2001,1,6,23,30,-10,0,0,0,0.11,770,-2,352,0.8,,,,,,
2001,1,7,0,30,-9,0,0,0,0.11,770,-3,354,0.9,,,,,,
2001,1,7,1,30,-9,0,0,0,0.11,770,-4,359,0.9,,,,,,
2001,1,7,2,30,-9,0,0,0,0.11,770,-4,2,1,,,,,,
2001,1,7,3,30,-9,0,0,0,0.11,770,-5,5,1,,,,,,
2001,1,7,4,30,-9,0,0,0,0.11,770,-6,10,1,,,,,,
2001,1,7,5,30,-9,0,0,0,0.11,770,-6,15,1,,,,,,
2001,1,7,6,30,-9,0,0,0,0.11,770,-7,22,1,,,,,,
2001,1,7,7,30,-9,0,0,0,0.11,770,-6,25,1,,,,,,
2001,1,7,8,30,-9,30,754,141,0.11,780,-4,33,1.3,,,,,,
2001,1,7,9,30,-9,42,939,317,0.11,780,-1,37,2.2,,,,,,
2001,1,7,10,30,-12,47,1017,458,0.11,780,1,37,2.9000000000000004,,,,,,
2001,1,7,11,30,-15,54,1044,545,0.11,770,2,38,3.1,,,,,,
2001,1,7,12,30,-17,55,1052,569,0.11,770,3,35,2.9000000000000004,,,,,,
2001,1,7,13,30,-17,53,1037,529,0.11,770,3,32,2.6,,,,,,
2001,1,7,14,30,-17,49,994,427,0.11,770,2,28,2.1,,,,,,
2001,1,7,15,30,-14,42,898,276,0.11,770,0,24,1.4000000000000001,,,,,,
2001,1,7,16,30,-11,26,658,96,0.11,770,-2,12,1,,,,,,
2001,1,7,17,30,-13,0,0,0,0.11,770,-4,13,1,,,,,,
2001,1,7,18,30,-13,0,0,0,0.11,770,-4,23,1,,,,,,
2001,1,7,19,30,-13,0,0,0,0.11,770,-4,40,0.9,,,,,,
2001,1,7,20,30,-14,0,0,0,0.11,770,-4,62,0.8,,,,,,
2001,1,7,21,30,-14,0,0,0,0.11,770,-4,89,0.8,,,,,,
2001,1,7,22,30,-14,0,0,0,0.11,770,-5,118,0.9,,,,,,
2001,1,7,23,30,-15,0,0,0,0.11,770,-5,137,1,,,,,,
2001,1,8,0,30,-15,0,0,0,0.11,770,-6,151,1.1,,,,,,
2001,1,8,1,30,-15,0,0,0,0.11,770,-7,164,1.2000000000000002,,,,,,
2001,1,8,2,30,-15,0,0,0,0.11,770,-7,174,1.3,,,,,,
2001,1,8,3,30,-15,0,0,0,0.11,770,-8,177,1.4000000000000001,,,,,,
2001,1,8,4,30,-15,0,0,0,0.11,770,-8,178,1.4000000000000001,,,,,,
2001,1,8,5,30,-14,0,0,0,0.11,770,-8,175,1.5,,,,,,
2001,1,8,6,30,-13,0,0,0,0.11,770,-8,167,1.4000000000000001,,,,,,
2001,1,8,7,30,-13,0,0,0,0.11,770,-7,159,1.2000000000000002,,,,,,
2001,1,8,8,30,-11,32,711,137,0.11,770,-4,154,1.2000000000000002,,,,,,
2001,1,8,9,30,-10,45,899,310,0.11,770,-1,149,1.3,,,,,,
2001,1,8,10,30,-10,52,977,448,0.11,770,1,180,1.6,,,,,,
2001,1,8,11,30,-10,55,1011,533,0.11,770,3,206,1.8,,,,,,
2001,1,8,12,30,-10,56,1018,556,0.11,770,4,212,1.7000000000000002,,,,,,
2001,1,8,13,30,-10,55,1001,517,0.11,770,5,214,1.5,,,,,,
2001,1,8,14,30,-10,52,955,418,0.11,770,4,213,1,,,,,,
2001,1,8,15,30,-6,98,322,183,0.11,770,2,226,0.5,,,,,,
2001,1,8,16,30,-8,28,610,95,0.11,770,0,268,0.4,,,,,,
2001,1,8,17,30,-9,0,0,0,0.11,770,0,292,0.2,,,,,,
2001,1,8,18,30,-9,0,0,0,0.11,770,0,104,0.30000000000000004,,,,,,
2001,1,8,19,30,-9,0,0,0,0.11,770,0,125,0.5,,,,,,
2001,1,8,20,30,-9,0,0,0,0.11,770,-1,127,0.5,,,,,,
2001,1,8,21,30,-10,0,0,0,0.11,770,-1,123,0.5,,,,,,
2001,1,8,22,30,-10,0,0,0,0.11,770,-2,116,0.5,,,,,,
2001,1,8,23,30,-10,0,0,0,0.11,770,-2,113,0.7000000000000001,,,,,,
2001,1,9,0,30,-10,0,0,0,0.11,770,-2,117,0.8,,,,,,
2001,1,9,1,30,-10,0,0,0,0.11,770,-3,119,1,,,,,,
2001,1,9,2,30,-11,0,0,0,0.11,770,-3,118,1.1,,,,,,
2001,1,9,3,30,-11,0,0,0,0.11,770,-4,119,1.2000000000000002,,,,,,
