Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Dew Point Units,DHI Units,DNI Units,GHI Units,Temperature Units,Pressure Units,Wind Direction Units,Wind Speed Units,Surface Albedo Units,Version
NSRDB,496423,-,-,-,38.49,-104.5,-7,1568,-7,c,w/m2,w/m2,w/m2,c,mbar,Degrees,m/s,,3.2.0
Year,Month,Day,Hour,Minute,Dew Point,DHI,DNI,GHI,Surface Albedo,Pressure,Temperature,Wind Direction,Wind Speed,,,,,,
2014,1,1,0,30,-5,0,0,0,0.21,830,0,282,3,,,,,,
2014,1,1,1,30,-5,0,0,0,0.21,830,0,284,3.7,,,,,,
2014,1,1,2,30,-5,0,0,0,0.21,830,0,289,4.4,,,,,,
2014,1,1,3,30,-6,0,0,0,0.21,830,0,296,4.9,,,,,,
2014,1,1,4,30,-6,0,0,0,0.21,830,0,303,4.800000000000001,,,,,,
2014,1,1,5,30,-6,0,0,0,0.21,830,0,308,4.2,,,,,,
2014,1,1,6,30,-7,0,0,0,0.21,830,0,312,4.2,,,,,,
2014,1,1,7,30,-7,12,279,20,0.21,830,0,319,4.800000000000001,,,,,,
2014,1,1,8,30,-6,68,273,121,0.21,830,1,328,5.5,,,,,,
2014,1,1,9,30,-5,55,848,331,0.21,830,3,345,6.1000000000000005,,,,,,
2014,1,1,10,30,-5,64,914,448,0.21,830,4,354,6.2,,,,,,
2014,1,1,11,30,-6,67,941,511,0.21,830,5,356,5.800000000000001,,,,,,
2014,1,1,12,30,-7,67,944,513,0.21,830,5,358,5.300000000000001,,,,,,
2014,1,1,13,30,-7,63,918,454,0.21,830,4,1,5,,,,,,
2014,1,1,14,30,-8,57,851,340,0.21,830,3,6,4.6000000000000005,,,,,,
2014,1,1,15,30,-7,74,238,122,0.21,830,1,18,3.6,,,,,,
2014,1,1,16,30,-7,18,0,18,0.21,830,0,29,2.9000000000000004,,,,,,
2014,1,1,17,30,-7,0,0,0,0.21,840,-1,31,2.5,,,,,,
2014,1,1,18,30,-7,0,0,0,0.21,840,-2,31,2,,,,,,
2014,1,1,19,30,-7,0,0,0,0.21,840,-3,32,1.3,,,,,,
2014,1,1,20,30,-7,0,0,0,0.21,840,-3,39,0.6000000000000001,,,,,,
2014,1,1,21,30,-7,0,0,0,0.21,840,-4,87,0.5,,,,,,
2014,1,1,22,30,-7,0,0,0,0.21,840,-4,163,1,,,,,,
2014,1,1,23,30,-7,0,0,0,0.21,840,-4,185,1.5,,,,,,
2014,1,2,0,30,-8,0,0,0,0.21,840,-4,201,1.7000000000000002,,,,,,
2014,1,2,1,30,-8,0,0,0,0.21,840,-4,218,1.6,,,,,,
2014,1,2,2,30,-9,0,0,0,0.21,840,-4,236,1.5,,,,,,
2014,1,2,3,30,-10,0,0,0,0.21,840,-4,264,1.7000000000000002,,,,,,
2014,1,2,4,30,-11,0,0,0,0.21,840,-4,277,2.2,,,,,,
