x,y,z,rearZ,mattype,rearMat,Wm2Front,Wm2Back,Back/FrontRatio
1.538984e-16,-1.256675,1.096593,1.076654,a9.3.a0.module_site2.6457,a9.3.a0.module_site2.2310,160639.3,15454.63,0.09620702968571808
1.199402e-16,-0.9793864,1.225895,1.205956,a9.3.a0.module_site2.6457,a9.3.a0.module_site2.2310,161157.6,13336.769999999999,0.08275607180327783
8.598214e-17,-0.7020975,1.355197,1.335258,a9.3.a0.module_site2.6457,a9.3.a0.module_site2.2310,162730.9,11945.57,0.07340689399857744
5.202403e-17,-0.4248085,1.484499,1.46456,a9.3.a0.module_site2.6457,a9.3.a0.module_site2.2310,163116.5,11206.69,0.06870359486193246
1.806593e-17,-0.1475195,1.613801,1.593862,a9.3.a0.module_site2.6457,a9.3.a0.module_site2.2310,163500.9,10950.51,0.06697522724966513
-1.589218e-17,0.1297695,1.743103,1.723164,a9.3.a1.module_site2.6457,a9.3.a1.module_site2.2310,161992.0,11156.46,0.06887043762117612
-4.985029e-17,0.4070585,1.872405,1.852466,a9.3.a1.module_site2.6457,a9.3.a1.module_site2.2310,162202.7,11703.92,0.07215613505720844
-8.38084e-17,0.6843475,2.001706,1.981768,a9.3.a1.module_site2.6457,a9.3.a1.module_site2.2310,162412.5,12516.409999999998,0.07706555790308284
-1.177665e-16,0.9616365,2.131008,2.11107,a9.3.a1.module_site2.6457,a9.3.a1.module_site2.2310,164823.5,13319.480000000001,0.08081056353729558
-1.517246e-16,1.238925,2.26031,2.240372,a9.3.a1.module_site2.6457,a9.3.a1.module_site2.2310,164981.7,14264.88,0.08646340723569094
