airg,year,month,day,doy,temp_min,temp_max,trg,etp,trr,wind,tpm,co2,date,deltaz,zrac,ulai,deltai,deltai_bis,deltaimaxi,lai,laisen,nsencour,eos,flagrain,zdemi,cumlracz,dltams,masec,eo,eop,teta,ep,swfac,nbgrains,nbgraingel,pgrain,pgraingel,ircarb,deltags,mafruit,raint,mafeuilverte,mafeuiljaune,mafeuil,matigestruc,masecnp,maenfruit,msrac,restemp,dltamsen,durage,durvie,durvie_n,somsen,somtemp,dltaisen,dltaisenat,resperenne,resperennemax,resperennestruc,maperenne,tetsen,senfac,turfac,fstressgel,day_lai_creation,dltafv,pfeuilverte,dltat,dltares,dltaremobsen,masecveg,restempmax,dltarestemp,senstress,sen,tdevelop,fpv,sourcepuits1,sourcepuit2,sourcepuits,remob,dltaremobilbrut,dltaremobil,dltaCO2resperenne,remobilj,fpft,devjour,spfruit,nbinflo_recall,nfruitnou,allocfruit,albsol,albedolai,rglo,rnet,et,hauteur,z0,tcultmax,tcultmin,tcult,lev,flo,nou,lan,drp,udevcult,udev,rfpi,jvi,plt,ger,rfvi,lax,amf,mat,upvt,ebmax,tetstomate,teturg,gdh,findorm,cu,tempeff,esol,stemflow,mouill,fapar,rnetp1,rnets,dh,ras0,raa0,rasinf,raainf,ras,raa,deltat,L,dsat,rac,rc,ept,dos,emd,rnetp2,edirectm,edirect,dltamstombe,mafeuiltombe,nbjgrauto,amplsurf,psibase,moist,deltaz_t,teaugrain,debdes,drain,deltaz_stress,somger,densite,elong,nbfeuille,somfeuille,nbjhumec,let,fgellev,fgelflo,ftemp,ftempremp,water_content_max_criteria,water_content_min_criteria,maturity_criteria,coeflev,efdensite,compute_airg,somsenreste,efda,znonli,vmax,msrec_fou,msrec_fou_tot,msrec_fou_coupe,masectot,masecneo,msresjaune,msneojaune,deltamsresen,msres,hur_0_10_cm,hur_10_20_cm,hur_20_30_cm,hur_30_40_cm,hur_40_50_cm,hur_50_60_cm,water_stress_day,water_stress_day_value,thermal_stress_day,thermal_stress_day_value,sumes0,sumes1,sumes2,ses2j0,sesj0,smes02,nstoc,stoc,resrac,ratm,daylen,humirac_mean,cumdltaremobil,sla,somcour,somcourdrp,tursla,rec,stopfeuille_stage,somelong,cumdltares,varintlai,varintms,eai,bbch,ratiotf,vernalisation_ongoing,arretsomcourdrp,converge,tmoy,rgex,esat,delta,phoi,hourly_temp,fracinsol,directm,vitmoy,radiative_stress,mafruit_rec,water_use_efficiency
0.0,2023,6,1,152,13.1,29.3,10.491880278247802,2.5,0.0,2.0,14.104514550532647,-999.99,2023-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,-25.587549631438403,0.0,-0.0,0.0,2.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,1.8206631251394043,6.572841097458838,2.499999999999999,0.0,0.01,29.3,13.1,21.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.499999999999999,0.0,0.0,0.0,0.0,6.572841097458838,0.066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.499999999999999,0.0,0.0,0.0,16.200000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,311.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9666540642722117,1.0,True,False,False,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3945456881855656,1.497942538142611,1.5416116558631978,1.5562775045449624,1.5596293702894435,1.5599932429742203,0,,1,0.9666540642722117,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.954360632428376,15.77604711910986,1.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.5,False,False,True,21.2,41.21195896102081,2.517722492090296,0.1544040611111723,17.0729073434505,0,0.12029579256943258,0.0,-0.24742698390832946,0.0,0.0,0.0
0.0,2023,6,2,153,12.3,30.1,20.86477872041885,2.5,0.0,2.0,13.378058269419672,-999.99,2023-06-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,-25.587549631438403,0.0,-0.0,0.0,2.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,5.275464363289245,11.416358613045837,2.5,0.0,0.01,32.487002753207584,12.3,22.393501376603794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,11.416358613045837,0.066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,20.187002753207583,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,311.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9666540642722117,0.0,False,False,False,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.233870911659339,1.4329554309678847,1.5217503393151786,1.5522137916148604,1.5592236824460273,1.5599858439967103,0,,1,0.9666540642722117,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.335914619772986,15.801818429290277,1.0,0.0,180.0,0.0,0.0,0.5,0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.5,False,False,True,21.200000000000003,41.29904020722675,2.5177224920902965,0.15440406111117233,17.1044551671021,0,0.5245357970566187,0.0,-0.24742698390832946,0.0,0.0,-0.0
0.0,2023,6,3,154,12.1,26.4,10.265139420549668,2.5,0.0,2.0,13.20167793235827,-999.99,2023-06-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,-25.587549631438403,0.0,-0.0,0.0,2.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,1.7755301304076099,6.436581406032124,2.5000000000000004,0.0,0.01,26.4,12.1,19.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5000000000000004,0.0,0.0,0.0,0.0,6.436581406032124,0.066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5000000000000004,0.0,0.0,0.0,14.299999999999999,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,311.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9450097219292495,0.0,False,False,False,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0785666143128387,1.3647425477924577,1.5001863684435126,1.5477500309511245,1.5587767490992668,1.5599776894007997,0,,1,0.9450097219292495,0.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.034630947177796,15.82640368259144,1.0,0.0,262.5,0.0,0.0,0.75,0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.5,False,False,True,19.25,41.38098092552905,2.231900159468528,0.13896411927593755,17.13468750616094,0,0.10978094794333731,0.0,-0.24742698390832946,0.0,0.0,-0.0
0.0,2023,6,4,155,11.7,27.700000000000003,27.39048909959323,2.5,0.0,2.0,12.855052986096013,-999.99,2023-06-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,-25.587549631438403,0.0,-0.0,0.0,2.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,7.871507850546681,14.040883429127902,2.4999999999999996,0.0,0.01,33.011505133048615,11.7,22.35575256652431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4999999999999996,0.0,0.0,0.0,0.0,14.040883429127902,0.066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4999999999999996,0.0,0.0,0.0,21.311505133048616,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,311.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.990430056710775,0.0,False,False,False,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9293285170182564,1.2929715581258692,1.4766379095530902,1.5428125894132463,1.558280789730596,1.559968636158942,0,,1,0.990430056710775,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.007966503723207,15.849781368802354,1.0,0.0,306.25,0.0,0.0,0.875,0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.5,False,False,True,19.700000000000003,41.45774170840054,2.295208371065775,0.14240584875815754,17.163572426450497,0,0.7752976486448143,0.0,-0.24742698390832946,0.0,0.0,-0.0
0.0,2023,6,5,156,14.2,23.1,23.0194683091336,2.5,0.0,2.0,15.160023282746552,-999.99,2023-06-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,-25.587549631438403,0.0,-0.0,0.0,2.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,5.75339437014398,12.6621802771629,2.441460496229522,0.0,0.01,27.035686055863692,14.2,20.617843027931848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.441460496229522,0.0,0.0,0.0,0.0,12.6621802771629,0.066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.441460496229522,0.0,0.0,0.0,12.835686055863693,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,311.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9457767758906773,0.0,False,False,False,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7903113031122575,1.2190459628617232,1.4513619827301414,1.5374370741303078,1.5577388882687493,1.5599587392738692,0,,1,0.9457767758906773,0.5,12.5,0.44146049622952144,0.0,0.0,0.0,0.0,0.0,0.0,31.10391606155836,15.871930723795776,1.0,0.0,328.125,0.0,0.0,0.9375,0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.5,False,False,True,18.65,41.5292852209667,2.1498682441615165,0.1344849020668724,17.191078809735995,0,0.6037013471590725,0.0,-0.24742698390832946,0.0,0.0,-0.0
0.0,2023,6,6,157,13.0,25.200000000000003,23.82663817306793,2.5,0.0,2.0,14.011848211801153,-999.99,2023-06-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,-25.587549631438403,0.0,-0.0,0.0,2.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,6.924098403265095,12.137212135189252,1.4658366698786496,0.0,0.01,31.225068607233712,13.0,22.112534303616854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4658366698786496,0.0,0.0,0.0,0.0,12.137212135189252,0.066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4658366698786496,0.0,0.0,0.0,18.225068607233712,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,311.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9752574892726747,0.0,False,False,False,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7113322447397945,1.1721903611096913,1.4346053787900466,1.5338176656570832,1.5573725873740938,1.559952045718474,0,,1,0.9752574892726747,3.0,12.5,1.9072971661081712,0.0,0.0,0.0,0.0,0.0,0.0,30.898843519617177,15.892831794852903,1.0,0.0,339.0625,0.0,0.0,0.96875,0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.5,False,False,True,19.1,41.59557627834875,2.211139634005992,0.1378326422394281,17.21717646376844,0,0.6335752231092237,0.0,-0.24742698390832946,0.0,0.0,-0.0
0.0,2023,6,7,158,10.8,23.4,18.801191384836915,2.5,0.0,2.0,12.104319788675024,-999.99,2023-06-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,-25.587549631438403,0.0,-0.0,0.0,2.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,5.366226656695133,9.6747264511744,1.0195503213283157,0.0,0.01,27.904474053414443,10.8,19.352237026707222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0195503213283157,0.0,0.0,0.0,0.0,9.6747264511744,0.066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0195503213283157,0.0,0.0,0.0,17.104474053414442,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,311.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9505897788172796,0.0,False,False,False,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6584256420676923,1.1385296944376562,1.4222040385496402,1.5311109238043683,1.5570979275234111,1.5599470248735838,0,,1,0.9505897788172796,5.5,12.5,2.926847487436487,0.0,0.0,0.0,0.0,0.0,0.0,30.90692419890174,15.91246550496147,1.0,0.0,344.53125,0.0,0.0,0.984375,0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.5,False,False,True,17.1,41.65658192098634,1.9500432630582893,0.12347583925448073,17.241836232767174,0,0.437641664984186,0.0,-0.24742698390832946,0.0,0.0,-0.0
0.0,2023,6,8,159,11.0,28.3,25.80101888315314,2.5,0.0,2.0,12.267722584682,-999.99,2023-06-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,-25.587549631438403,0.0,-0.0,0.0,2.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,8.476341445762714,12.1644736607598,0.8311278364002954,0.0,0.01,36.09529261243789,11.0,23.547646306218944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8311278364002954,0.0,0.0,0.0,0.0,12.1644736607598,0.066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8311278364002954,0.0,0.0,0.0,25.095292612437888,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,311.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9895406067489368,0.0,False,False,False,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6165080290947051,1.11046880801102,1.4116352471075377,1.5287861240935239,1.5568615565656754,1.5599427027438602,0,,1,0.9895406067489368,8.0,12.5,3.7579753238367823,0.0,0.0,0.0,0.0,0.0,0.0,30.274680084443254,15.930813715690292,1.0,0.0,347.265625,0.0,0.0,0.9921875,0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.5,False,False,True,19.65,41.712271487428524,2.2880974341531832,0.14201990706477832,17.26503010759575,0,0.707334585982,0.0,-0.24742698390832946,0.0,0.0,-0.0
0.0,2023,6,9,160,14.4,30.6,24.00688835727137,2.5,0.0,2.0,15.359225781111917,-999.99,2023-06-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,-25.587549631438403,0.0,-0.0,0.0,2.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,7.58675947432409,11.61875121149301,0.7196760377220972,0.0,0.01,38.092703887581436,14.4,26.246351943790717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7196760377220972,0.0,0.0,0.0,0.0,11.61875121149301,0.066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7196760377220972,0.0,0.0,0.0,23.692703887581438,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,311.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9189571414908457,0.0,False,False,False,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5811036909169416,1.0857240544435138,1.4021379694623426,1.526683003995205,1.5566473598946236,1.5599387851314859,0,,1,0.9189571414908457,10.5,12.5,4.4776513615588796,0.0,0.0,0.0,0.0,0.0,0.0,32.5857870404084,15.947859288238023,1.0,0.0,348.6328125,0.0,0.0,0.99609375,0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.5,False,False,True,22.5,41.76261668408263,2.725587606605459,0.16548316037309999,17.28673133484429,0,0.6368412502499547,0.0,-0.24742698390832946,0.0,0.0,-0.0
0.0,2023,6,10,161,16.8,26.200000000000003,21.891060619111528,2.5,0.0,2.0,17.935567760398282,-999.99,2023-06-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,-25.587549631438403,0.0,-0.0,0.0,2.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,6.4270186131567755,11.085829882132447,0.6437767398028181,0.0,0.01,33.30692387765674,16.8,25.05346193882837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6437767398028181,0.0,0.0,0.0,0.0,11.085829882132447,0.066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6437767398028181,0.0,0.0,0.0,16.506923877656742,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,311.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8383836970350805,0.0,False,False,False,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5501500913677251,1.0632375708874293,1.3933593130761772,1.5247272179833273,1.556447861010729,1.5599351355384425,0,,1,0.8383836970350805,13.0,12.5,5.121428101361698,0.0,0.0,0.0,0.0,0.0,0.0,33.058482398988616,15.963586142252364,1.0,0.0,349.31640625,0.0,0.0,0.998046875,0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.5,False,False,True,21.5,41.80759165141774,2.5644197206554633,0.15690345906391898,17.30691452399782,0,0.5542169131214504,0.0,-0.24742698390832946,0.0,0.0,-0.0
